SN,Btw,Trial,cSrc,cCue,cPE,IMidx,IMname,CueName,Resp,RT,Corr,Conf,cRT,aResp,aRT,aCorr,aConf,aCRT
10,1,116,3,0,0,219, man304.jpg, ,3,0.7773,1,4,0.3099,7,0,7,7,0
10,1,117,3,0,0,80, man112.jpg, ,3,0.9284,1,4,0.3772,7,0,7,7,0
10,1,118,2,2,3,159, man210.jpg, cue_2.jpg,1,2.3831,3,3,1.7231,1,0.8955,1,3,0.8766
10,1,119,3,0,0,125, man167.jpg, ,3,0.8773,1,4,0.3123,7,0,7,7,0
10,1,120,3,0,0,8, man015.jpg, ,3,0.6403,1,4,0.341,7,0,7,7,0
10,1,121,3,0,0,182, man247.jpg, ,3,0.587,1,4,0.3712,7,0,7,7,0
10,1,122,3,0,0,5, man010.jpg, ,3,0.617,1,4,0.3345,7,0,7,7,0
10,1,123,1,3,4,145, man191.jpg, cue_3.jpg,3,0.8377,0,2,3.57,7,0,7,7,0
10,1,124,1,2,3,208, man287.jpg, cue_2.jpg,1,1.1216,1,4,1.2661,1,0.8317,1,4,0.4251
10,1,125,3,0,0,192, man259.jpg, ,3,0.7472,1,4,0.2688,7,0,7,7,0
10,1,126,1,3,4,228, man314.jpg, cue_3.jpg,1,1.1589,1,4,0.8858,3,1.0557,1,4,0.2914
10,1,127,3,0,0,181, man246.jpg, ,3,0.8738,1,4,0.2783,7,0,7,7,0
10,1,128,1,4,2,72, man104.jpg, cue_4.jpg,1,2.1449,1,3,1.0148,2,0.7035,1,4,0.3979
10,1,129,3,0,0,57, man084.jpg, ,3,0.704,1,4,0.2754,7,0,7,7,0
10,1,130,2,1,1,6, man013.jpg, cue_1.jpg,2,1.0065,1,4,0.5637,4,0.3838,1,4,0.3952
10,1,131,2,3,4,225, man311.jpg, cue_3.jpg,2,1.4076,1,4,0.4679,3,0.3834,1,4,0.3345
10,1,132,2,2,3,195, man267.jpg, cue_2.jpg,2,3.0151,1,3,0.7604,1,0.7037,1,4,0.522
10,1,133,2,4,2,103, man139.jpg, cue_4.jpg,2,1.1297,1,4,0.5703,2,0.7357,1,4,0.3862
10,1,134,3,0,0,25, man041.jpg, ,3,0.6793,1,4,0.2826,7,0,7,7,0
10,1,135,2,1,1,30, man048.jpg, cue_1.jpg,2,1.2839,1,4,0.5884,4,0.3516,1,4,0.4529
10,1,136,3,0,0,126, man168.jpg, ,3,1.4472,1,4,0.4104,7,0,7,7,0
10,1,137,2,4,2,224, man310.jpg, cue_4.jpg,2,1.4869,1,4,1.2622,2,0.3516,1,4,0.2994
10,1,138,3,0,0,75, man107.jpg, ,3,0.7719,1,4,0.3071,7,0,7,7,0
10,1,139,2,2,3,50, man073.jpg, cue_2.jpg,2,1.2918,1,4,0.5652,1,0.5435,1,4,0.421
10,1,140,1,4,2,157, man208.jpg, cue_4.jpg,1,1.7694,1,4,0.4947,2,0.5436,1,4,0.4178
